company_id,type,rule_id,text,confidence_pct
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,81
ABB,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,68
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ABB,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81
ABB,pro,P13,Revenue CAGR of 10.7% over 3 years indicates positive recent business growth,66
ABB,pro,P14,EPS CAGR of 20.2% over 3 years indicates positive recent earnings growth,75
ABB,pro,P15,Operating margin improved from 22.5% to 24.8% in the latest year,75
ABB,con,C14,"Five-year revenue CAGR of 9.7% is below 10%, indicating relatively moderate long-term growth",65
ABB,con,C16,P/E ratio of 75.6x indicates a relatively high valuation multiple and may limit margin of safety,100
ADANIENSOL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
ADANIENSOL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,83
ADANIENSOL,pro,P13,Revenue CAGR of 18.7% over 3 years indicates positive recent business growth,82
ADANIENSOL,pro,P15,Operating margin improved from 34.0% to 34.4% in the latest year,75
ADANIENSOL,con,C1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,72
ADANIENSOL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,81
ADANIENSOL,con,C13,"Return on equity of 9.5% is below 15%, indicating room for improvement in shareholder capital efficiency",76
ADANIENSOL,con,C16,P/E ratio of 58.5x indicates a relatively high valuation multiple and may limit margin of safety,93
ADANIENSOL,con,C17,Price-to-book ratio of 9.1x indicates a relatively high valuation versus reported book value,67
ADANIENT,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
ADANIENT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ADANIENT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,96
ADANIENT,pro,P13,Revenue CAGR of 34.6% over 3 years indicates positive recent business growth,100
ADANIENT,pro,P14,EPS CAGR of 51.8% over 3 years indicates positive recent earnings growth,100
ADANIENT,pro,P15,Operating margin improved from 6.9% to 11.8% in the latest year,75
ADANIENT,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,74
ADANIENT,con,C13,"Return on equity of 8.5% is below 15%, indicating room for improvement in shareholder capital efficiency",77
ADANIENT,con,C16,P/E ratio of 58.9x indicates a relatively high valuation multiple and may limit margin of safety,93
ADANIENT,con,C17,Price-to-book ratio of 10.4x indicates a relatively high valuation versus reported book value,69
ADANIENT,con,C18,Negative free-cash-flow yield of -4.50% is a cash-flow watchpoint,80
ADANIGREEN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100
ADANIGREEN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIGREEN,pro,P13,Revenue CAGR of 43.4% over 3 years indicates positive recent business growth,100
ADANIGREEN,pro,P14,EPS CAGR of 91.3% over 3 years indicates positive recent earnings growth,100
ADANIGREEN,pro,P15,Operating margin improved from 63.9% to 79.4% in the latest year,75
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100
ADANIGREEN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,93
ADANIGREEN,con,C13,"Return on equity of 12.8% is below 15%, indicating room for improvement in shareholder capital efficiency",69
ADANIGREEN,con,C16,P/E ratio of 45.3x indicates a relatively high valuation multiple and may limit margin of safety,80
ADANIGREEN,con,C18,Negative free-cash-flow yield of -2.61% is a cash-flow watchpoint,80
ADANIGREEN,con,C19,"Cash-flow quality is classified as Accrual Risk, indicating earnings require closer cash-conversion review",80
ADANIPORTS,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIPORTS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIPORTS,pro,P13,Revenue CAGR of 28.6% over 3 years indicates positive recent business growth,100
ADANIPORTS,pro,P15,Operating margin improved from 52.5% to 58.4% in the latest year,75
ADANIPORTS,con,C16,P/E ratio of 48.9x indicates a relatively high valuation multiple and may limit margin of safety,83
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,78
ADANIPOWER,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ADANIPOWER,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67
ADANIPOWER,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,87
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
ADANIPOWER,pro,P13,Revenue CAGR of 24.3% over 3 years indicates positive recent business growth,93
ADANIPOWER,pro,P14,EPS CAGR of 162.1% over 3 years indicates positive recent earnings growth,100
ADANIPOWER,pro,P15,Operating margin improved from 26.0% to 36.2% in the latest year,75
ADANIPOWER,con,C16,P/E ratio of 44.6x indicates a relatively high valuation multiple and may limit margin of safety,79
ADANIPOWER,con,C17,Price-to-book ratio of 9.9x indicates a relatively high valuation versus reported book value,68
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
AMBUJACEM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77
AMBUJACEM,pro,P15,Operating margin improved from 13.2% to 19.3% in the latest year,75
AMBUJACEM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,67
AMBUJACEM,con,C13,"Return on equity of 11.4% is below 15%, indicating room for improvement in shareholder capital efficiency",72
AMBUJACEM,con,C14,"Five-year revenue CAGR of 4.1% is below 10%, indicating relatively moderate long-term growth",76
AMBUJACEM,con,C16,P/E ratio of 55.6x indicates a relatively high valuation multiple and may limit margin of safety,90
AMBUJACEM,con,C17,Price-to-book ratio of 9.2x indicates a relatively high valuation versus reported book value,67
AMBUJACEM,con,C18,Negative free-cash-flow yield of -0.26% is a cash-flow watchpoint,80
APOLLOHOSP,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
APOLLOHOSP,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,97
APOLLOHOSP,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,71
APOLLOHOSP,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94
APOLLOHOSP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91
APOLLOHOSP,pro,P13,Revenue CAGR of 21.8% over 3 years indicates positive recent business growth,88
