company_id,type,rule_id,text,confidence_pct,sentiment_score,sentiment_label
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,81,0.3612,Positive
ABB,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,68,0.802,Positive
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
ABB,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78,0.7351,Positive
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81,0.8402,Positive
ADANIENSOL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70,0.6124,Positive
ADANIENSOL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,83,0.7351,Positive
ADANIENSOL,con,C1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,72,0.0,Neutral
ADANIENSOL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71,0.0,Neutral
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,81,-0.0258,Neutral
ADANIENT,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73,0.6124,Positive
ADANIENT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100,0.802,Positive
ADANIENT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98,0.7351,Positive
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,96,0.8402,Positive
ADANIENT,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71,0.0,Neutral
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,74,-0.0258,Neutral
ADANIGREEN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100,0.6124,Positive
ADANIGREEN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100,0.0,Neutral
ADANIGREEN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73,0.0,Neutral
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,93,-0.0258,Neutral
ADANIPORTS,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74,0.6124,Positive
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100,0.7351,Positive
ADANIPORTS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,78,0.3612,Positive
ADANIPOWER,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
ADANIPOWER,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67,0.6124,Positive
ADANIPOWER,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,87,0.7351,Positive
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80,0.7184,Positive
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100,-0.2551,Negative
AMBUJACEM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77,0.8402,Positive
AMBUJACEM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,67,-0.4019,Negative
APOLLOHOSP,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85,0.8519,Positive
APOLLOHOSP,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,97,0.802,Positive
